land use class,land use class percent,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
Urban; Residential; Single family,60,71,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Agricultural Land; Pasture,30,72,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Transportation; Major Roads,10,73,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Mixed,100,74,ESCA_plot,66,242318891,7a4af4f8-58e9-4bf5-99f1-612da9f1112f,2023-05-30 23:40:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Open; Vacant,80,75,ESCA_plot,67,242612588,ad23e6b1-3f5d-4a13-9470-f493bb9338ea,2023-05-31 21:54:05,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Transportation; Streets,20,76,ESCA_plot,67,242612588,ad23e6b1-3f5d-4a13-9470-f493bb9338ea,2023-05-31 21:54:05,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Transportation; Streets,40,77,ESCA_plot,68,242612605,63aefddf-ae62-4ef4-8d65-8427b6bddf78,2023-05-31 21:54:25,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Agricultural Land; Horse Ranches,30,78,ESCA_plot,68,242612605,63aefddf-ae62-4ef4-8d65-8427b6bddf78,2023-05-31 21:54:25,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Industrial,30,79,ESCA_plot,68,242612605,63aefddf-ae62-4ef4-8d65-8427b6bddf78,2023-05-31 21:54:25,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Xeric,75,80,ESCA_plot,69,242612615,a9558502-003f-4433-ba56-f1f7813670ef,2023-05-31 21:54:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
