taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Nolina microcarpa,ITIS:42995,species,ITIS:42995,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Nolina,microcarpa,,sacahuista
Vulpia,ITIS:42260,genus,ITIS:42260,accepted,2010-11-30,NA,NA,NA,NA,NA,NA,,,fescue
Malephora lutea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex confertifolia,ITIS:20519,species,ITIS:20519,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,confertifolia,,shadscale saltbush
Prosopis,ITIS:26878,genus,ITIS:26878,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,mesquite
Achnatherum speciosum,ITIS:507958,species,ITIS:784239,synonym,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Pappostipa,speciosa,,NA
Dudleya arizonica,ITIS:512612,species,ITIS:512612,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya,arizonica,,Arizona dudleya
Pachycereus,ITIS:500460,genus,ITIS:500460,accepted,2013-06-12,NA,NA,NA,NA,NA,NA,,,NA
Allium sativum,ITIS:42652,species,ITIS:42652,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,sativum,,cultivated garlic
Chamaecereus sylvestri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyacinthus,ITIS:500338,genus,ITIS:500338,accepted,2011-02-24,NA,NA,NA,NA,NA,NA,,,hyacinth
Phlox,ITIS:30897,genus,ITIS:30897,accepted,2012-01-27,NA,NA,NA,NA,NA,NA,,,phlox
Euphorbia tirucalli,ITIS:502550,species,ITIS:502550,accepted,2017-04-25,Plantae,NA,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,tirucalli,,Indiantree spurge
Leucophyllum pruinosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupressus sempervirens,ITIS:183456,species,ITIS:183456,accepted,2011-07-25,Plantae,NA,Pinopsida,Pinales,Cupressaceae,Cupressus,sempervirens,,Italian cypress
Strelitzia reginae,ITIS:897449,species,ITIS:897449,accepted,2012-09-26,Plantae,NA,Magnoliopsida,Zingiberales,Strelitziaceae,Strelitzia,reginae,,bird of paradise
Salvia leucantha,ITIS:832889,species,ITIS:832889,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Lamiaceae,Salvia,leucantha,,Mexican bush sage
Muhlenbergia capillaris,ITIS:41902,species,ITIS:41902,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Muhlenbergia,capillaris,,hairawn muhly
Muhlenbergia rigens,ITIS:503883,species,ITIS:503883,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Muhlenbergia,rigens,,deergrass
Bursera microphylla,ITIS:28765,species,ITIS:28765,accepted,2012-08-29,Plantae,NA,Magnoliopsida,Sapindales,Burseraceae,Bursera,microphylla,,littleleaf elephant tree
Leucophyllum zygophyllum,ITIS:834147,species,ITIS:834147,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Scrophulariaceae,Leucophyllum,zygophyllum,,cimmeron
Beaucarnea recurvata,ITIS:810168,species,ITIS:810168,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Beaucarnea,recurvata,,bottle palm
Brahea edulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agave macroacantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloysia wrightii,ITIS:32134,species,ITIS:32134,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,wrightii,,Wrights lippia
