shrub image,shrub image_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1680285937160.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680285937160.jpg,41,shrub_measurement_repeat,62,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680285952889.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680285952889.jpg,42,shrub_measurement_repeat,62,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680639730956.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680639730956.jpg,43,shrub_measurement_repeat,83,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680639759903.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680639759903.jpg,44,shrub_measurement_repeat,84,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680639787174.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680639787174.jpg,45,shrub_measurement_repeat,85,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680639823884.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680639823884.jpg,46,shrub_measurement_repeat,86,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680639913361.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680639913361.jpg,47,shrub_measurement_repeat,87,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680639962972.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680639962972.jpg,48,shrub_measurement_repeat,88,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680640013068.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680640013068.jpg,49,shrub_measurement_repeat,89,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680640051898.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fc48309e9-515f-49d0-8bda-476cc615df0d%2F1680640051898.jpg,50,shrub_measurement_repeat,90,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
