synoptic photo of the plot,synoptic photo of the plot_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1683051208935.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F81668631-a923-447e-82fa-8b72c561d3c2%2F1683051208935.jpg,48,ESCA_plot,29,235419132,81668631-a923-447e-82fa-8b72c561d3c2,2023-05-02 22:51:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683135815054.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fa4992836-9d78-428e-b852-2ac4666055cf%2F1683135815054.jpg,49,ESCA_plot,30,235664563,a4992836-9d78-428e-b852-2ac4666055cf,2023-05-03 22:14:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683221399300.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fc9caeecc-255c-42b7-b6ad-8cdc5d701565%2F1683221399300.jpg,50,ESCA_plot,31,235934263,c9caeecc-255c-42b7-b6ad-8cdc5d701565,2023-05-04 22:29:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683221429615.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fc9caeecc-255c-42b7-b6ad-8cdc5d701565%2F1683221429615.jpg,51,ESCA_plot,31,235934263,c9caeecc-255c-42b7-b6ad-8cdc5d701565,2023-05-04 22:29:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683314776449.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F30fdabd4-b620-4918-bf2b-e0b2a8d04101%2F1683314776449.jpg,52,ESCA_plot,32,236187157,54a43a18-4c1b-40e0-a992-e4182ed754ae,2023-05-05 21:40:15,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683305654767.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F47044ed7-a6fc-48fa-a09f-13af888bf2cd%2F1683305654767.jpg,53,ESCA_plot,33,236187178,1ba3df0b-1073-4c0c-9767-bdde0291506c,2023-05-05 21:40:23,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
1683569875844.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F7b22a064-0770-4450-991f-6ce0a5aaa0f1%2F1683569875844.jpg,54,ESCA_plot,34,236786569,7b22a064-0770-4450-991f-6ce0a5aaa0f1,2023-05-08 22:52:40,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683580145105.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fbf43f9e8-808e-42f0-8dec-9ed1decd09f5%2F1683580145105.jpg,55,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
1683580186904.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fbf43f9e8-808e-42f0-8dec-9ed1decd09f5%2F1683580186904.jpg,56,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
1683651777564.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fd66aa7cd-5b40-4ae9-847d-743e31b7a1ae%2F1683651777564.jpg,57,ESCA_plot,36,237037270,d66aa7cd-5b40-4ae9-847d-743e31b7a1ae,2023-05-09 20:05:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683659512420.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F05b8d0af-1e20-4168-8673-1a68174e4bc6%2F1683659512420.jpg,58,ESCA_plot,37,237037290,05b8d0af-1e20-4168-8673-1a68174e4bc6,2023-05-09 20:05:36,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683659523470.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F05b8d0af-1e20-4168-8673-1a68174e4bc6%2F1683659523470.jpg,59,ESCA_plot,37,237037290,05b8d0af-1e20-4168-8673-1a68174e4bc6,2023-05-09 20:05:36,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683743904521.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fef9536d5-b774-44ae-beb0-8ef5983c814d%2F1683743904521.jpg,60,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683743923705.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fef9536d5-b774-44ae-beb0-8ef5983c814d%2F1683743923705.jpg,61,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
